Date,High,Low,Close,Open,Adj Close
2019-07-10,7559.12,7515.61,7530.69,7536.47,7530.69
2019-07-09,7553.3,7517.94,7536.47,7549.27,7536.47
2019-07-08,7571.34,7538.67,7549.27,7553.14,7549.27
2019-07-05,7603.61,7541.86,7553.14,7603.58,7553.14
2019-07-04,7622.58,7601.33,7603.58,7609.32,7603.58
2019-07-03,7621.02,7558.47,7609.32,7559.19,7609.32
2019-07-02,7565.27,7497.5,7559.19,7497.5,7559.19
2019-07-01,7530.24,7425.63,7497.5,7425.63,7497.5
2019-06-28,7436.18,7398.92,7425.63,7402.33,7425.63
2019-06-27,7439.43,7375.51,7402.33,7416.39,7402.33
2019-06-26,7435.9,7405.54,7416.39,7422.43,7416.39
2019-06-25,7429.72,7373.22,7422.43,7416.69,7422.43
2019-06-24,7435.54,7399.56,7416.69,7407.5,7416.69
2019-06-21,7456.79,7382.94,7407.5,7424.44,7407.5
2019-06-20,7460.83,7403.54,7424.44,7403.54,7424.44
2019-06-19,7454.93,7399.17,7403.54,7443.04,7403.54
2019-06-18,7469.19,7345.55,7443.04,7357.31,7443.04
2019-06-17,7370.7,7324.54,7357.31,7345.78,7357.31
2019-06-14,7368.8,7316.44,7345.78,7368.57,7345.78
2019-06-13,7398.61,7350.98,7368.57,7367.62,7368.57
2019-06-12,7398.45,7329.26,7367.62,7398.45,7367.62
2019-06-11,7420.73,7375.54,7398.45,7375.54,7398.45
2019-06-10,7380.14,7331.94,7375.54,7331.94,7375.54
2019-06-07,7347.41,7258.16,7331.94,7259.85,7331.94
2019-06-06,7275.66,7218.67,7259.85,7220.22,7259.85
2019-06-05,7259.24,7201.36,7220.22,7216.74,7220.22
2019-06-04,7223.96,7138.14,7214.29,7184.8,7214.29
2019-06-03,7186.71,7079.71,7184.8,7161.71,7184.8
2019-05-31,7218.16,7130.85,7161.71,7218.16,7161.71
2019-05-30,7236.68,7180.57,7218.16,7185.3,7218.16
2019-05-29,7268.95,7151.37,7185.3,7268.95,7185.3
2019-05-28,7314.85,7262.8,7268.95,7277.73,7268.95
2019-05-24,7303.04,7231.01,7277.73,7231.04,7277.73
2019-05-23,7334.19,7211.33,7231.04,7334.19,7231.04
2019-05-22,7373.27,7313.55,7334.19,7328.92,7334.19
2019-05-21,7370.02,7310.88,7328.92,7310.88,7328.92
2019-05-20,7360.34,7268.63,7310.88,7348.62,7310.88
2019-05-17,7354.22,7307.33,7348.62,7353.51,7348.62
2019-05-16,7353.51,7265.77,7353.51,7296.95,7353.51
2019-05-15,7308.1,7223.08,7296.95,7241.6,7296.95
2019-05-14,7241.6,7163.68,7241.6,7163.68,7241.6
2019-05-13,7217.12,7150.89,7163.68,7203.29,7163.68
2019-05-10,7268.17,7189.86,7203.29,7207.41,7203.29
2019-05-09,7271.0,7192.18,7207.41,7271.0,7207.41
2019-05-08,7278.32,7222.88,7271.0,7260.47,7271.0
2019-05-07,7380.64,7251.03,7260.47,7380.64,7260.47
2019-05-03,7418.17,7350.01,7380.64,7351.31,7380.64
2019-05-02,7393.94,7339.45,7351.31,7385.26,7351.31
2019-05-01,7446.46,7379.65,7385.26,7385.26,7385.26
2019-04-30,7451.32,7394.07,7418.22,7440.66,7418.22
2019-04-29,7456.49,7406.53,7440.66,7428.19,7440.66
2019-04-26,7442.39,7398.57,7428.19,7434.13,7428.19
2019-04-25,7473.32,7405.99,7434.13,7471.75,7434.13
2019-04-24,7523.79,7456.74,7471.75,7523.07,7471.75
2019-04-23,7528.93,7459.88,7523.07,7459.88,7523.07
2019-04-22,7475.91,7437.87,7459.88,7459.88,7459.88
2019-04-19,7475.91,7437.87,7459.88,7459.88,7459.88
2019-04-18,7475.91,7437.87,7459.88,7471.32,7459.88
2019-04-17,7478.95,7445.12,7471.32,7469.92,7471.32
2019-04-16,7485.93,7436.87,7469.92,7436.87,7469.92
2019-04-15,7447.08,7420.27,7436.87,7437.06,7436.87
2019-04-12,7454.78,7415.0,7437.06,7417.95,7437.06
2019-04-11,7441.89,7383.47,7417.95,7421.91,7417.95
2019-04-10,7441.36,7409.39,7421.91,7425.57,7421.91
2019-04-09,7477.62,7413.27,7425.57,7451.89,7425.57
2019-04-08,7459.93,7420.41,7451.89,7446.87,7451.89
2019-04-05,7461.39,7400.79,7446.87,7401.94,7446.87
2019-04-04,7418.43,7367.44,7401.94,7418.28,7401.94
2019-04-03,7418.31,7380.93,7418.28,7391.12,7418.28
2019-04-02,7403.56,7316.81,7391.12,7317.38,7391.12
2019-04-01,7352.15,7279.19,7317.38,7279.19,7317.38
2019-03-29,7287.72,7223.3,7279.19,7234.33,7279.19
2019-03-28,7265.47,7190.87,7234.33,7194.19,7234.33
2019-03-27,7222.64,7160.14,7194.19,7196.29,7194.19
2019-03-26,7221.02,7169.37,7196.29,7177.58,7196.29
2019-03-25,7208.09,7146.83,7177.58,7207.59,7177.58
2019-03-22,7356.37,7192.76,7207.59,7355.31,7207.59
2019-03-21,7370.61,7290.62,7355.31,7291.01,7355.31
